name,exp,variant,workload,rc,insts,cycles,cpi,ipc,sim_ms,host_s,l1d_acc,l1d_miss,l1d_mr,l1d_mshr_miss,l1d_miss_lat_cyc,l1d_hit_lat,l1d_amat,l1d_mpki,l1d_repl,l1d_wb,l1i_acc,l1i_miss,l1i_mr,l2_acc,l2_miss,l2_mr,l2_miss_lat_cyc,l2_mpki,victim_hits,victim_miss,dram_rd,dram_wr,dram_bytes,dram_lat_cyc,dtlb_acc,dtlb_miss,dtlb_mr,dtlb_mpki,itlb_acc,itlb_miss,page_faults,penalty_cyc,penalty_frac,pf_issued,pf_useful,pf_accuracy,program_output
victim_dm+v4_stride,victim,dm+v4,stride,0,8766024,71409044,8.146115502307545,0.12275789604465227,35.705,8.36,1863851,1604175,0.8606777043873142,1604175,30.342911466,2.0,28.115467384984395,182.99915674426626,1603145,1603145,11098754,112,1e-05,1604281,4264,0.0026578884871166584,152.33677298400002,0.4864234914255311,0,1604169,4264,0,272896,49.827160000000006,1863919,142,7.618356806277526e-05,0.016198906140343673,11098754,4,66,0,0.0,0,0,0.0,stride: stride=32768 lines=8 iters=200000 checksum=1605600000
victim_dm+v8_chase,victim,dm+v8,chase,0,3160920,27456050,8.686094554749882,0.1151265385953187,13.728,3.58,632806,518463,0.8193079711633581,518463,35.664647236,2.0,31.220329769184026,164.02281614213584,517434,517434,4359367,114,2.6e-05,518555,17578,0.03389804360193229,187.96302196000002,5.561039191121572,17,518441,17578,0,1124992,84.74746,633085,393614,0.6217395768340744,124.52513825088899,4359367,4,275,0,0.0,0,0,0.0,chase: footprint_kib=1024 nodes=16384 hops=500000 final=9930
victim_dm+v8_matmul,victim,dm+v8,matmul,0,6862544,25000762,3.6430749296470815,0.2744933934413679,12.5,4.17,1881623,122560,0.06513525823185622,122560,31.984521865999998,2.0,4.083320091164362,17.85926618466854,121530,121530,8772200,117,1.3e-05,112305,3632,0.03234050131338765,159.713931718,0.5292497942453994,10366,112188,3632,0,232448,57.18708,1881687,120,6.37725615365361e-05,0.017486226682116718,8772200,5,58,0,0.0,0,0,0.0,matmul: n=96 block=0 checksum=219826053362
victim_dm+v8_stride,victim,dm+v8,stride,0,8766024,33008526,3.765507144402069,0.26556847767149616,16.504,6.27,1863851,1604175,0.8606777043873142,1604175,6.405085479999999,2.0,7.512714267330918,182.99915674426626,1603145,1603145,11098754,112,1e-05,4279,4264,0.9964945080626314,152.226547842,0.4864234914255311,1600002,4167,4264,0,272896,49.71694,1863919,142,7.618356806277526e-05,0.016198906140343673,11098754,4,66,0,0.0,0,0,0.0,stride: stride=32768 lines=8 iters=200000 checksum=1605600000
victim_dm_chase,victim,dm,chase,0,3160920,25343583,8.017786910140085,0.12472269607655713,12.671999999999999,2.98,632806,518458,0.819300069847631,518458,31.590732518,2.0,27.88228935853523,164.0212343241841,517434,517421,4359367,114,2.6e-05,518572,17578,0.033896932344978134,186.74519285399998,5.561039191121572,0,0,17578,0,1124992,84.5223,633085,393614,0.6217395768340744,124.52513825088899,4359367,4,275,0,0.0,0,0,0.0,chase: footprint_kib=1024 nodes=16384 hops=500000 final=9930
victim_dm_matmul,victim,dm,matmul,0,6862544,24728133,3.6033478255294247,0.2775196979084511,12.364,3.99,1881623,122554,0.06513206949532398,122554,29.766135744,2.0,3.938730021885455,17.858391873334437,121530,121516,8772200,117,1.3e-05,122671,3632,0.02960764972976498,151.08920704800002,0.5292497942453994,0,0,3632,0,232448,49.53704,1881687,120,6.37725615365361e-05,0.017486226682116718,8772200,5,58,0,0.0,0,0,0.0,matmul: n=96 block=0 checksum=219826053362
victim_dm_stride,victim,dm,stride,0,8766024,64970069,7.411577814525719,0.13492403709775957,32.485,6.95,1863851,1604169,0.86067448524587,1604169,26.32858134,2.0,24.660338192058518,182.99847228344345,1603145,1603132,11098754,112,1e-05,1604281,4264,0.0026578884871166584,148.136726078,0.4864234914255311,0,0,4264,0,272896,46.60518,1863919,142,7.618356806277526e-05,0.016198906140343673,11098754,4,66,0,0.0,0,0,0.0,stride: stride=32768 lines=8 iters=200000 checksum=1605600000
wset_1024KiB_chase,wset,1024KiB,chase,0,3160920,25343157,8.017652139250599,0.12472479257418481,12.671999999999999,2.71,632806,518448,0.8192842672161769,518448,31.590705336,2.0,27.88176787204693,164.01807068828063,517424,517411,4359367,114,2.6e-05,518562,17578,0.033897586016715456,186.73665946,5.561039191121572,0,0,17578,0,1124992,84.51386,633085,393614,0.6217395768340744,124.52513825088899,4359367,4,275,0,0.0,0,0,0.0,chase: footprint_kib=1024 nodes=16384 hops=500000 final=9930
wset_128KiB_chase,wset,128KiB,chase,0,2587565,20630355,7.972883772968022,0.1254251320445043,10.315,2.22,518161,502206,0.9692084120572564,502206,26.58710569,2.0,27.76844648700335,194.08439981217862,501184,501170,3613775,120,3.3e-05,502328,2357,0.00469215333407654,152.76325838000002,0.9108949920098626,0,0,2357,0,150848,51.133,518208,85,0.000164026800049401,0.03284941634316433,3613775,6,37,0,0.0,0,0,0.0,chase: footprint_kib=128 nodes=2048 hops=500000 final=1813
wset_16KiB_chase,wset,16KiB,chase,0,2515897,8117417,3.226450446898263,0.3099381244058301,4.059,1.27,503849,334,0.0006628970187496651,334,151.023952096,2.0,2.1001133276042308,0.13275583221411688,0,0,3520583,120,3.4e-05,457,457,1.0,146.956236324,0.18164495605344733,0,0,457,0,29248,45.39606,503870,29,5.755452795363883e-05,0.01152670399463889,3520583,8,7,0,0.0,0,0,0.0,chase: footprint_kib=16 nodes=256 hops=500000 final=209
wset_2048KiB_chase,wset,2048KiB,chase,0,3816299,33647985,8.816915288870186,0.11341835179729187,16.823999999999998,3.2,763880,543530,0.7115384615384616,543530,41.884609866,2.0,31.802510866192307,142.42332689341166,542506,420735,5211631,114,2.2e-05,543644,51253,0.09427676935641707,189.760911556,13.430027364208097,0,0,51253,10265,3937152,88.78982,764431,467838,0.6120081472363104,122.58945119342064,5211631,4,547,0,0.0,0,0,0.0,chase: footprint_kib=2048 nodes=32768 hops=500000 final=28248
wset_256KiB_chase,wset,256KiB,chase,0,2669444,21294141,7.9769948348794735,0.1253604923532722,10.647,2.32,534539,504209,0.9432595189499737,504209,27.31923865,2.0,27.769131907078528,188.88165475657104,503187,503173,3720255,120,3.2e-05,504331,4533,0.00898814469068925,171.14074564400002,1.698106422161319,0,0,4533,0,290112,69.18664,534620,613,0.00114660880625491,0.22963583427859885,3720255,6,71,0,0.0,0,0,0.0,chase: footprint_kib=256 nodes=4096 hops=500000 final=42
wset_32KiB_chase,wset,32KiB,chase,0,2526041,8189151,3.2418915607466388,0.30846189061601137,4.095,1.28,505862,605,0.0011959783498266326,605,151.92727272800002,2.0,2.181701728930894,0.23950521784879977,1,0,3533773,120,3.4e-05,727,727,1.0,148.122420908,0.2878021378116982,0,0,727,0,46528,46.56808,505883,33,6.523247470264864e-05,0.013063920973570895,3533773,6,11,0,0.0,0,0,0.0,chase: footprint_kib=32 nodes=512 hops=500000 final=491
wset_4096KiB_chase,wset,4096KiB,chase,0,5126955,128992765,25.15972248634911,0.03974606637821897,64.496,5.2,1026016,603540,0.5882364407572591,603540,189.3794181,2.0,113.39987485582486,117.71899694848112,602516,102568,6916033,114,1.6e-05,603654,570739,0.9454737316409731,193.795176078,111.32124233585043,0,0,570739,69653,40985088,91.49288,1027111,531919,0.5178787881738196,103.74949653351746,6916033,4,1091,0,0.0,0,0,0.0,chase: footprint_kib=4096 nodes=65536 hops=500000 final=60
wset_512KiB_chase,wset,512KiB,chase,0,2833178,22650287,7.994657236502613,0.1250835364690964,11.325,2.5,567257,509216,0.8976812978949577,509216,28.769257054,2.0,27.825624011708385,179.73314772315751,508192,508179,3933169,114,2.9e-05,509330,8874,0.017422888893251918,181.638494478,3.1321717167082337,0,0,8874,0,567936,79.50676,567400,257837,0.454418399718012,91.00628340330188,3933169,4,139,0,0.0,0,0,0.0,chase: footprint_kib=512 nodes=8192 hops=500000 final=2719
wset_64KiB_chase,wset,64KiB,chase,0,2546543,10561789,4.147500749054699,0.2411090583233579,5.281,1.45,509962,93534,0.18341366611629886,93534,27.680993008,2.0,7.077072409336916,36.7297940776967,92575,92559,3560432,120,3.4e-05,93656,1271,0.013570940462970872,148.086546026,0.499108006422825,0,0,1271,0,81344,46.52124,509992,51,0.0001000015686520573,0.02002715053309526,3560432,6,20,0,0.0,0,0,0.0,chase: footprint_kib=64 nodes=1024 hops=500000 final=477
wset_8192KiB_chase,wset,8192KiB,chase,0,7748458,153542953,19.81593666765697,0.05046443258128558,76.771,6.77,1550314,736049,0.47477414252854583,736049,178.312764504,2.0,86.65828986928112,94.99296505188516,735025,229783,10325075,114,1.1e-05,736163,645665,0.8770679863019467,194.656967622,83.32819252553217,0,0,645665,139285,50236800,92.34952,1552497,634601,0.40876149841191317,81.90029551686284,10325075,4,2179,0,0.0,0,0,0.0,chase: footprint_kib=8192 nodes=131072 hops=500000 final=74040
